stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06497] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06499] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06501] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06502] added dtor for sample_instance 0000000002BD8500, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06504] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06506] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06508] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06509] added dtor for sample_instance 0000000002BD8650, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06511] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06513] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06515] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06517] added dtor for sample_instance 0000000002BD7930, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06520] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06522] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06524] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06525] added dtor for sample_instance 0000000002BD7A80, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06527] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06529] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06530] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06532] added dtor for sample_instance 0000000002BD7FC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06534] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06536] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06537] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06539] added dtor for sample_instance 0000000002BD8F80, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06541] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06542] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06547] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06549] added dtor for sample_instance 0000000002BD8260, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06551] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06552] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06554] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06556] added dtor for sample_instance 0000000002BD87A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06557] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06559] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06560] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06562] added dtor for sample_instance 0000000002BD88F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06565] sample matrix:
